id,created_at,sindicato,endereco
1,2025-02-19 19:39:09.516881+00,1º RIO DAS PEDRAS,"TRAVESSA PRATES, 400 CENTRO-RIO DAS PEDRAS  "
2,2025-02-19 19:39:09.516881+00,2º SINDEEPRES PIRACICABA,"RUA GUAPORÉ, 138 - HIGIENÓPOLIS - PIRACICABA - SP"
3,2025-02-19 19:39:09.516881+00,3º CONSTRUÇÃO CIVIL,"RUA JOSÉ PINTO DE ALMEIDA, 295 "
4,2025-02-19 19:39:09.516881+00,4º SIEMACO PIRACICABA,"RUA JOSÉ PINTO DE ALMEIDA, 773 - ALTO, PIRACICABA "
5,2025-02-19 19:39:09.516881+00,5º APOSENTADOS PIRACICABA,"PRAÇA ANTONIO PADUA DUTRA, 1032 - CENTRO "
6,2025-02-19 19:39:09.516881+00,6º ALIMENTAÇÃO PIRACICABA,"RUA MORAES BARROS, 411 - CENTRO "
7,2025-02-19 19:39:09.516881+00,"7º TRAILLER, METALURGICO PIRACICABA E CLINICA ORTO E PRÓTESE","RUA PRUDENTE DE MORAES, 914 "
8,2025-02-19 19:39:09.516881+00,8º METALURGICO SANTA TEREZINHA,"RUA CORCOVADO, 1175 - JARDIM TAIGUARA, PIRACICABA - SP, 13408-072"
9,2025-02-19 19:39:09.516881+00,8º SINDEEPRES AMERICANA,"RUA ALVARO RIBEIRO, 350 - VILA REDIER "
10,2025-02-19 19:39:09.516881+00,9º SIEMACO AMERICANA,"RUA TUIUTI, 580 - VILA SANTA CATARINA "
11,2025-02-19 19:39:09.516881+00,10º SIEMACO CAMPINAS,"RUA JOSÉ ALENCAR, 314 - CENTRO, CAMPINAS - SP "
12,2025-02-19 19:39:09.516881+00,11º SINDEEPRES CAMPINAS,"AVENIDA BRASIL, 1784 - GUANABARA - CAMPINAS "
13,2025-02-19 19:39:09.516881+00,13 SINTHOJUR JUNDIAI,"AV. SÃO JOÃO, 569 - PTE SÃO JOAO "
14,2025-02-19 19:39:09.516881+00,14 SINDEEPRES JUNDIAI,"RUA XV DE NOVEMBRO, 1166 - CENTRO "
15,2025-02-19 19:39:09.516881+00,1º SIELAV,"PRAÇA TOMAS MORUS, 182 - AGUA BRANCA "
16,2025-02-19 19:39:09.516881+00,2º SIEMACO LAPA,"RUA TRAJANO, 181 - LAPA "
17,2025-02-19 19:39:09.516881+00,3º SIEMACO CACHOERINHA,"AV. DEPUTADO CANTIDIO SAMPAIO, 153 "
18,2025-02-19 19:39:09.516881+00,4º SIEMACO FRANCO DA ROCHA,"AV. DOS EXPEDICIONéRIOS, 84 - FRANCO DA ROCHA "
19,2025-02-19 19:39:09.516881+00,5º SINDEEPRES GUARULHOS,"RUA ZEQUINHA DE ABREU, 284 - GUARULHOS "
20,2025-02-19 19:39:09.516881+00,6º SINDEEPRES MOGI DAS CRUZES,"RUA SANTANA, 335 CONJ. 125- ANDAR 12 - CENTRO - MOGI"
21,2025-02-19 19:39:09.516881+00,7º SIEMACO SÃO MIGUEL,"RUA BERALDO MARCONDES, 293 "
22,2025-02-19 19:39:09.516881+00,8º SIEMACO GUAIANASES,"RUA DOUTOR MEIRA PENA, 150 "
23,2025-02-19 19:39:09.516881+00,9º REFEIÇÕES ARTUR ALVIM,"RUA DOUTOR CAMPOS, 72 "
24,2025-02-19 19:39:09.516881+00,10º SIEMACO ARTUR ALVIM,"RUA DOUTOR MOACIR TAVOLARO, 263 "
25,2025-02-19 19:39:09.516881+00,1º SIEMACO COR SANTO AMARO,"RUA JOÃO DE GENOVA, 10"
26,2025-02-19 19:39:09.516881+00,2º SIEMACO REVIVER,"RUA JOÃO DE GENOVA, 13 "
27,2025-02-19 19:39:09.516881+00,3º SINDEEPRES SANTO AMARO,"RUA AURORA, 126 - SANTO AMARO "
28,2025-02-19 19:39:09.516881+00,4º SIEMACO TABOÃO DA SERRA,"R. ANÁLIA ANDRADE MIRANDA, 34 - JARDIM BOM TEMPO "
29,2025-02-19 19:39:09.516881+00,5º SIEMACO COTIA,"RUA JOSÉ AUGUSTO PEDROSO, 19 - VILA SÃO FRANCISCO"
30,2025-02-19 19:39:09.516881+00,6º SINDEEPRES BARUERI,"RUA PROFA. ELVIRA LEFÈVRE SALES NEMER, 19 - JARDIM SÃO PEDRO "
31,2025-02-19 19:39:09.516881+00,7º SINTRASP OSASCO,"RUA JOSÉ BACARELI, 404 - VILA CAMPESINA "
32,2025-02-19 19:39:09.516881+00,8º SINDEEPRES OSASCO,"RUA DR. MARIO PINTO SERVA, 120 - CENTRO, OSASCO"
33,2025-02-19 19:39:09.516881+00,1º SEIBREF,"AV. PRESTES MAIA, 241 - 1009 - CENTRO HISTÓRICO DE SÃO PAULO"
34,2025-02-19 19:39:09.516881+00,2º CROSS,"PRAÇA PADRE MANOEL DE NéBREGA, 21 - CENTRO HISTÓRICO DE SÃO PAULO "
35,2025-02-19 19:39:09.516881+00,3º SINDEEPRES SANTO ANDRÕ,"RUA DONA LAURA, 140 - VILA BASTO - SANTO ANDRé - SP "
36,2025-02-19 19:39:09.516881+00,4º SINDEEPRES SÃO BERNARDO DO CAMPO,"RUA JOSÉ BONIFÁCIO, 209 - SÃO BERNARDO DO CAMPO "
37,2025-02-19 19:39:09.516881+00,5º SINDEEPRES SANTOS,"AV. ENG. LUIZ LA SCALA JÚNIOR, 105 - VILA MATIAS, SANTOS "
38,2025-02-19 19:39:09.516881+00,"6º ODONTOMÓVEL I, II, III, IV, PSL E NOTHMANN",
39,2025-02-19 19:39:09.516881+00,7º SIEMACO E REFEIÇÕES CENTRAL,"RUA VITORINO CARMILO, 422"
40,2025-02-19 19:39:09.516881+00,SINDEEPRES BRAGANÇA,"R. CEL. TEÓFILO LEME, 471 - CENTRO, BRAGANÇA PAULISTA - CEP: 12900-002"
41,2025-02-19 19:39:09.516881+00,SINDEEPRES BAURU,"R. AVIADOR GOMES RIBEIRO, 1061 - JARDIM SANTA IZABEL, BAURU -SP 17014-000"
42,2025-02-19 19:39:09.516881+00,SINDEEPRES SÃO CARLOS,"R. 15 DE NOVEMBRO, 2985 - CENTRO, SÃO CARLOS - SP 13560-241"
43,2025-02-19 19:39:09.516881+00,SINDEEPRES SÃO JOSÕ DOS CAMPOS,"R. DR. ALEIXO MASCARENHAS, 214 - VILA MARIA, SÃO JOSÉ DOS CAMPOS - SP 12209-220"
44,2025-02-19 19:39:09.516881+00,SINDEEPRES TAUBATÉ,"AV. PROF. WALTER THAUMATURGO, 398 - JARDIM DAS NAÇÕES, TAUBATé -SP 12030-040"
45,2025-02-19 19:39:09.516881+00,SINDEEPRES SOROCABA,"R. EURIDES FOGAÇA, 40 - TRUJILO, SOROCABA - SP 18060-270"
46,2025-02-19 19:39:09.516881+00,SINDEEPRES SALTO,"R. NOVE DE JULHO, 709 - 8é ANDAR - SALA 83 - CENTRO, SALTO - SP 13320-005"
47,2025-02-19 19:39:09.516881+00,SINDEEPRES SÃO JOSÕ DO RIO PRETO,"R. CONSELHEIRO LAFAIETE, 251 - VILA ERCILIA, SÃO JOSÉ DO RIO PRETO - SP 15013-030"
48,2025-02-19 19:39:09.516881+00,SINDEEPRES PRESIDENTE PRUDENTE,"R. 12 DE OUTUBRO, 1380 - VILA DO ESTADIO, PRES. PRUDENTE - SP 19015-090"
49,2025-02-19 19:39:09.516881+00,SINDEEPRES RIBEIRÃO PRETO,"R. CONDE AFONSO CELSO, 1896 - JARDIM AMERICA, RIBEIRÃO PRETO - SP 14020-210"
50,2025-02-19 19:39:09.516881+00,SIEMACO ARAÇATUBA," R. Gen. Glicério, 369 - Centro, Araéatuba - SP, 16010-080"
51,2025-02-19 19:39:09.516881+00,SIEMACO SÃO JOSÕ DOS CAMPOS," R. Teopompo de Vasconcelos, 443 - Vila Adyana, Séo José dos Campos - SP, 12243-830"
52,2025-02-19 19:39:09.516881+00,SETH SÃO JOSÕ DO RIO PRETO,"R. Conselheiro Saraéva, 317 - Vila Ercilia, Séo José do Rio Preto - SP, 15013-080"